,name,personality_type,I,N,T,P,F,J,S,E
98,Truck Driver,ISTP,87,-1,100,83,-1,-1,100,-1
99,Forester,ISTJ,93,-1,87,-1,-1,60,87,-1
100,Steelworker,ISTP,100,-1,100,100,-1,-1,100,-1
101,Hunter,ISTP,92,-1,100,92,-1,-1,100,-1
102,Curator,ISTJ,100,-1,100,-1,-1,100,75,-1
103,Financial Analyst,INTJ,86,77,100,-1,-1,97,-1,-1
104,Receptionist,ESFJ,-1,-1,-1,-1,93,93,93,57
105,Pest Control Worker,ISTP,100,-1,100,88,-1,-1,88,-1
106,Water/Wastewater Engineer,ISTJ,100,-1,100,-1,-1,100,67,-1
107,Petroleum Engineer,ISTP,82,-1,100,73,-1,-1,91,-1
108,Industrial Engineer,ESTJ,-1,-1,100,-1,-1,82,82,41
109,Draftsman,INTJ,89,44,89,-1,-1,67,-1,-1
110,Cartographer,ISTJ,100,-1,100,-1,-1,87,67,-1
111,Agricultural Engineer,ISTJ,79,-1,89,-1,-1,96,89,-1
112,Scare Actor,ESTP,-1,-1,67,100,-1,-1,67,100
113,Medium,INFJ,100,100,-1,-1,100,100,-1,-1
114,Motivational speaker,ENFJ,-1,93,-1,-1,93,80,-1,100
115,Dance Teacher,ESFP,-1,-1,-1,78,78,-1,56,72
116,Marketeer,ESTP,-1,-1,100,100,-1,-1,100,100
117,School Psychologist,INFJ,64,55,-1,-1,91,100,-1,-1
118,Commentator,ENFP,-1,67,-1,50,67,-1,-1,100
119,Paralegal,ISTJ,100,-1,67,-1,-1,100,100,-1
120,Banker,ISTJ,100,-1,100,-1,-1,100,100,-1
121,Music Critique,ENTP,-1,75,88,62,-1,-1,-1,62
122,Secret Agent,ISTP,83,-1,100,61,-1,-1,48,-1
123,Military Officer,ESTJ,-1,-1,92,-1,-1,92,85,77
124,Video Game Tester,INTP,95,60,95,85,-1,-1,-1,-1
125,Pharmacist,ISFJ,91,-1,-1,-1,53,97,78,-1
126,Medical Examiner,INTP,100,81,100,75,-1,-1,-1,-1
127,Book Designer,INFP,90,90,-1,95,100,-1,-1,-1
128,Delivery Cyclist,ESTP,-1,-1,91,91,-1,-1,91,55
129,Audio Engineer,INTP,92,77,100,100,-1,-1,-1,-1
130,Orthodontist,ESFJ,-1,-1,-1,-1,75,100,88,62
131,Bike Repairer,ISTP,81,-1,100,100,-1,-1,100,-1
132,Musical Instrument Maker,ISFP,100,-1,-1,100,67,-1,100,-1
