,name,personality_type,I,N,T,P,F,J,S,E
164,Onkyokei,INTP,100,100,100,100,-1,-1,-1,-1
165,Kawaii Metal,ENFP,-1,75,-1,75,100,-1,-1,88
166,Afro-Cuban jazz,ENFJ,-1,100,-1,-1,100,100,-1,100
167,East Coast hip hop,ISTP,100,-1,100,100,-1,-1,100,-1
168,Outlaw Country,ESTP,-1,-1,100,100,-1,-1,100,70
169,Smooth jazz,ISFP,100,-1,-1,100,100,-1,100,-1
170,Acid rock,ENTP,-1,100,89,100,-1,-1,-1,100
171,Choro (Chorinho),INFJ,75,100,-1,-1,100,100,-1,-1
172,Samba rock,ENFP,-1,100,-1,100,100,-1,-1,100
173,Deathdream,INFP,100,100,-1,100,100,-1,-1,-1
174,Shitcore,ENTP,-1,90,90,100,-1,-1,-1,100
175,Minimal Wave,INTP,100,100,100,100,-1,-1,-1,-1
176,Powerviolence,ESTP,-1,-1,100,100,-1,-1,67,83
177,Hi-NRG,ESFP,-1,-1,-1,100,100,-1,67,100
178,Volksmusik,ISTJ,75,-1,75,-1,-1,100,100,-1
179,Sasscore,ENFP,-1,100,-1,100,83,-1,-1,100
180,Electroclash,ISFP,60,-1,-1,100,80,-1,80,-1
181,Dreampunk,ENFP,-1,100,-1,100,67,-1,-1,100
182,New Romantic,ENFP,-1,100,-1,100,100,-1,-1,100
183,Psybient,INTP,100,100,83,83,-1,-1,-1,-1
184,Blues Rock,ISTP,100,-1,57,100,-1,-1,71,-1
185,Glitch Hop,INTP,73,100,73,100,-1,-1,-1,-1
186,Miami Bass,ENFJ,-1,50,-1,-1,100,100,-1,100
187,Acid House,ENTP,-1,93,93,100,-1,-1,-1,80
188,Melodic Dubstep,INFJ,90,100,-1,-1,90,80,-1,-1
189,Madchester,ENFP,-1,100,-1,100,100,-1,-1,100
190,Big Beat,ENTP,-1,80,70,100,-1,-1,-1,80
191,Doo-wop,ESFJ,-1,-1,-1,-1,100,75,100,88
192,MPB,INFJ,90,90,-1,-1,90,60,-1,-1
193,Electronic Rock,ENTP,-1,100,93,100,-1,-1,-1,86
194,Avant-Garde Metal,ENTP,-1,97,97,90,-1,-1,-1,59
195,Trap (EDM),ESTP,-1,-1,60,100,-1,-1,100,80
196,Emotive Hardcore,ISFP,100,-1,-1,100,100,-1,80,-1
197,Death Rock,INFP,93,71,-1,86,50,-1,-1,-1
198,Musique concrète,INTP,94,100,100,89,-1,-1,-1,-1
199,Merengue,ESFP,-1,-1,-1,100,100,-1,89,100
200,Groove Metal,ISTP,100,-1,100,86,-1,-1,86,-1
201,Tango,ISFP,94,-1,-1,65,82,-1,65,-1
202,Funk Rock,ENTP,-1,96,77,100,-1,-1,-1,96
203,Reggae,ISFP,94,-1,-1,100,97,-1,81,-1
204,Space Ambient,INTJ,100,90,70,-1,-1,90,-1,-1
205,Post-Metal,INFJ,100,100,-1,-1,100,100,-1,-1
206,Nueva Trova,ENFP,-1,100,-1,50,100,-1,-1,50
207,Dark Cabaret,ENTP,-1,100,80,80,-1,-1,-1,70
208,Liquid Drum and Bass,ISFP,100,-1,-1,88,62,-1,50,-1
209,Rock Nacional,ISFP,100,-1,-1,100,100,-1,100,-1
210,Pop-Punk 2010's Wave,ENTP,-1,100,78,100,-1,-1,-1,78
211,Danger Music,ENTP,-1,100,100,100,-1,-1,-1,100
212,PC Music,ENTP,-1,100,100,100,-1,-1,-1,100
213,Corrido (Ranchera),ESFP,-1,-1,-1,100,60,-1,100,70
214,Skate punk (skatecore),ISFP,80,-1,-1,100,90,-1,90,-1
215,Digital Hardcore,INTP,100,54,100,100,-1,-1,-1,-1
216,Folk Punk,INTP,93,67,60,93,-1,-1,-1,-1
217,Gorenoise,INTP,89,100,100,100,-1,-1,-1,-1
218,Forest Psy,ISTP,100,-1,100,100,-1,-1,67,-1
219,Neoperreo,ESTP,-1,-1,100,100,-1,-1,100,100
